universidade;curso;campus;turno/grau;redacao;ciencias humanas;ciencias da natureza;linguagens e codigos;matematica;soma pesos;nota corte
UFCAT;GEOGRAFIA;Unidade SEDE (Catalão);Noturno (Licenciatura);2,5;3;1;2,5;1;10;356,81
UFCAT;MATEMÁTICA;Unidade SEDE (Catalão);Noturno (Licenciatura);1,5;1;1,5;2;4;10;408,34
UFCAT;FÍSICA;Unidade SEDE (Catalão);Noturno (Licenciatura);1,5;1;2,5;2;3;10;440,52
UFCAT;MATEMÁTICA INDUSTRIAL;Unidade SEDE (Catalão);Integral (Bacharelado);1,5;1;1,5;2;4;10;455,14
UFCAT;QUÍMICA;Unidade SEDE (Catalão);Integral (Licenciatura);1,5;1;2,5;2;3;10;458,58
UFCAT;EDUCAÇÃO DO CAMPO;Unidade SEDE (Catalão);Noturno (Licenciatura);2,5;1;3;1;2,5;10;510,47
UFCAT;GEOGRAFIA;Unidade SEDE (Catalão);Noturno (Bacharelado);2,5;3;1;2,5;1;10;543,87
UFCAT;FÍSICA;Unidade SEDE (Catalão);Noturno (Bacharelado);1,5;1;2,5;2;3;10;567,61
UFCAT;LETRAS - LÍNGUA PORTUGUESA;Unidade SEDE (Catalão);Noturno (Licenciatura);2,5;2,5;1;3;1;10;576,83
UFCAT;LETRAS - PORTUGUÊS E INGLÊS;Unidade SEDE (Catalão);Matutino (Licenciatura);2,5;2,5;1;3;1;10;586,47
UFCAT;CIÊNCIAS BIOLÓGICAS;Unidade SEDE (Catalão);Integral (Licenciatura);2;1,5;3;2;1,5;10;596,96
UFCAT;PEDAGOGIA;Unidade SEDE (Catalão);Noturno (Licenciatura);2,5;3;1;2,5;1;10;614,43
UFCAT;HISTÓRIA;Unidade SEDE (Catalão);Noturno (Licenciatura);2,5;3;1;2,5;1;10;615,98
UFCAT;ENGENHARIA DE MINAS;Unidade SEDE (Catalão);Integral (Bacharelado);1,5;1;2,5;2;3;10;621,35
UFCAT;ABI - CIÊNCIAS SOCIAIS;Unidade SEDE (Catalão);Matutino (ABI);2,5;2;1;2,5;2;10;626,87
UFCAT;QUÍMICA INDUSTRIAL;Unidade SEDE (Catalão);Integral (Bacharelado);1,5;1;2,5;2;3;10;634,45
UFCAT;ENGENHARIA DE PRODUÇÃO;Unidade SEDE (Catalão);Integral (Bacharelado);1,5;1;2,5;2;3;10;641,01
UFCAT;ABI - EDUCAÇÃO FÍSICA;Unidade SEDE (Catalão);Integral (ABI);2,5;3;1;2;1;9,5;646,16
UFCAT;CIÊNCIAS BIOLÓGICAS;Unidade SEDE (Catalão);Integral (Bacharelado);2;1,5;3;2;1,5;10;648,86
